length	Evalue	attribute
9.1 	58	other
6.3 	47	other
6.3 	39	other
7.2 	41	other
5.1 	44	other
92.4 	153	nifK
53.1 	86	nifK
8.1 	45	other
8.1 	74	other
185.0 	290	other
56.4 	268	other
7.6 	46	other
7.6 	41	other
6.6 	31	other
5.9 	43	other
5.8 	47	other
11.4 	45	other
11.4 	24	other
5.7 	37	other
5.7 	29	other
5.9 	33	other
8.0 	50	other
5.8 	47	other
55.8 	277	other
7.1 	51	other
11.1 	66	other
11.1 	23	other
5.5 	42	other
5.6 	41	other
7.1 	43	other
7.1 	71	other
6.2 	41	other
5.9 	39	other
6.0 	35	other
6.0 	26	other
7.1 	41	other
9.0 	69	other
9.0 	52	other
7.6 	60	other
7.6 	59	other
8.5 	29	other
8.5 	44	other
8.4 	43	other
8.4 	77	other
8.6 	42	other
8.6 	100	other
57.7 	277	other
8.0 	58	other
177.5 	287	nifK
7.6 	38	other
5.1 	81	other
6.0 	45	other
6.0 	22	other
6.0 	38	other
6.6 	36	other
6.5 	37	other
6.7 	53	other
7.0 	43	other
7.0 	42	other
56.4 	268	other
6.0 	32	other
9.2 	36	other
9.2 	53	other
6.0 	33	other
6.0 	37	other
5.4 	39	other
5.3 	29	other
5.3 	17	other
7.0 	38	other
6.2 	42	other
182.3 	286	nifK
8.3 	62	other
8.3 	46	other
6.6 	31	other
6.6 	48	other
56.3 	277	other
6.8 	44	other
6.7 	38	other
8.9 	64	other
8.9 	70	other
7.7 	45	other
7.7 	74	other
77.9 	133	other
96.7 	142	nifK
5.0 	42	other
10.1 	46	other
56.6 	275	other
6.7 	33	other
188.7 	291	nifK
5.1 	35	other
5.1 	42	other
188.5 	292	nifK
7.0 	44	other
7.0 	25	other
6.4 	27	other
6.4 	32	other
5.7 	32	other
6.2 	35	other
6.2 	36	other
5.5 	42	other
5.1 	68	other
55.9 	268	other
8.4 	52	other
5.9 	33	other
5.9 	23	other
6.5 	37	other
6.2 	37	other
6.0 	41	other
7.9 	58	other
7.9 	83	other
7.6 	42	other
7.6 	36	other
6.1 	41	other
56.1 	270	other
185.4 	288	nifK
9.1 	35	other
9.1 	37	other
7.9 	124	other
6.3 	69	other
6.3 	34	other
6.4 	33	other
10.7 	37	other
10.7 	52	other
5.9 	43	other
5.4 	33	other
5.7 	34	other
8.9 	35	other
8.9 	58	other
8.4 	57	other
8.4 	60	other
11.0 	44	other
11.0 	107	other
57.6 	269	other
5.2 	31	other
5.7 	43	other
5.9 	35	other
5.5 	30	other
7.1 	58	other
58.4 	262	other
5.5 	39	other
7.2 	45	other
5.7 	31	other
8.9 	57	other
8.9 	112	other
5.4 	41	other
5.4 	29	other
5.1 	33	other
6.4 	37	other
11.3 	44	other
11.3 	24	other
5.6 	43	other
9.0 	62	other
9.0 	114	other
5.0 	43	other
55.0 	267	other
7.7 	81	other
7.7 	24	other
6.3 	33	other
6.3 	58	other
7.7 	45	other
55.8 	269	other
189.5 	291	nifK
6.6 	34	other
7.2 	34	other
6.1 	47	other
5.9 	37	other
5.9 	45	other
6.7 	47	other
8.6 	47	other
7.9 	42	other
7.9 	29	other
5.8 	31	other
56.3 	262	other
5.1 	33	other
10.1 	44	other
10.1 	28	other
10.1 	38	other
55.6 	271	other
7.5 	45	other
7.5 	75	other
6.0 	46	other
6.5 	31	other
4.7 	36	other
4.7 	46	other
10.0 	46	other
10.0 	21	other
5.4 	37	other
6.5 	31	other
6.5 	25	other
189.4 	292	nifK
6.5 	58	other
7.0 	43	other
7.3 	50	other
53.8 	271	other
5.9 	41	other
5.9 	42	other
8.4 	47	other
8.4 	83	other
5.0 	52	other
